"Proficiency","CoreRaw","CoreMapped","PoRaw","PoMapped","CoreMappedEmpty","PoMappedEmpty"
"Acting","Cha","Charisma","","","False","True"
"Administration","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Agriculture","Intelligence","Intelligence","intelligence,knowledge","int_knowledge","False","False"
"Alchemy","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Alertness","Wis","Wisdom","Wisdom/Intuition","wis_intuition","False","False"
"Alms","Charisma","Charisma","Charisma","Charisma","False","False"
"Ambidexterity","Dexterity/Aim","Dexterity","Warrior, Rogue","","False","True"
"Ambidexterity","Dexterity/Aim","Dexterity","Warrior, Rogue","","False","True"
"Ambush","Intelligence/Reason","Intelligence","Warrior, Rogue","","False","True"
"Ambush","Intelligence/Reason","Intelligence","Warrior, Rogue","","False","True"
"Anatomy","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Ancient History","Intelligence","Intelligence","Wis,Intuit./Int,Knowl.","wis_intuition","False","False"
"Ancient History","Intelligence","Intelligence","Wis,Intuition/Int,Knowledge","wis_intuition","False","False"
"Ancient History","Intelligence","Intelligence","Wis,Intuition/Int,Knowledge","wis_intuition","False","False"
"Animal Handling","Wisdom","Wisdom","Wisdom,Willpower","wis_willpower","False","False"
"Animal Handling","Wis","Wisdom","Wisdom/Willpower","wis_willpower","False","False"
"Animal Handling","Wis","Wisdom","Wisdom/Willpower","wis_willpower","False","False"
"Animal Lore","Int","Intelligence","Int,Knowledge/ Wis,Intuition","int_knowledge","False","False"
"Animal Lore","Intelligence","Intelligence","Int,Knowledge/ Wis,Intuition","int_knowledge","False","False"
"Animal Noise","Wisdom","Wisdom","","","False","True"
"Animal Training","Wisdom","Wisdom","Wis,Willp./Cha,Lead.","wis_willpower","False","False"
"Animal Training","Wis","Wisdom","Wis,Willpower/ Cha,Leadership","wis_willpower","False","False"
"Animal Training","Wis","Wisdom","","","False","True"
"Appraising","Intelligence","Intelligence","Int,Reason/ Wisdom,Intuition","int_reason","False","False"
"Arcanology","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Arena Acting","Charisma","Charisma","Cha","Charisma","False","False"
"Armorer","Intelligence","Intelligence","Int,Knowl./Str,Muscle","int_knowledge","False","False"
"Armorer","Int","Intelligence","Int,Knowledge/ Str,Muscle","int_knowledge","False","False"
"Armorer","Intelligence","Intelligence","Int,Knowledge/Str,Muscle","int_knowledge","False","False"
"Artistic Ability","Wisdom","Wisdom","","","False","True"
"Astrology","Intelligence","Intelligence","Wis,Intuit./Int,Knowl.","wis_intuition","False","False"
"Astrology","Intelligence","Intelligence","Wis,Intuition, Int,Knowledge","wis_intuition","False","False"
"Astronomy","Intelligence","Intelligence","Intelligence,Knowledge","int_knowledge","False","False"
"Begging","Wisdom","Wisdom","","","False","True"
"Blacksmithing","Strength","Strength","Str,Muscle/Int,Knowl.","str_muscle","False","False"
"Blind-fighting","NA","None",",6/Wis/Intuition, Dex,Balance","wis_intuition","False","False"
"Blind-fighting","NA","None",",6/Wis,Intuition/Dex,Balance","wis_intuition","False","False"
"Boat Piloting","Wisdom","Wisdom","Str,Muscle/Int,Reason","str_muscle","False","False"
"Boating","Wisdom","Wisdom","","","False","True"
"Boatwright","Intelligence","Intelligence","","","False","True"
"Bookbinding","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Bookbinding","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Bowyer/Fletcher","Dexterity","Dexterity","Int,Knowl.,Dex,Aim","int_knowledge","False","False"
"Bowyer/Fletcher","Dexterity","Dexterity","Int,Knowledge/Dex,Aim","int_knowledge","False","False"
"Brewing","Intelligence","Intelligence","Intelligence,knowledge","int_knowledge","False","False"
"Brewing","Int","Intelligence","Intelligence/Knowledge","int_knowledge","False","False"
"Bureaucracy","Int","Intelligence","","","False","True"
"Bureaucracy","Intelligence","Intelligence","","","False","True"
"Bureaucracy","Intelligence","Intelligence","","","False","True"
"Camouflage","Wisdom","Wisdom","","","False","True"
"Camouflage","Wis","Wisdom","","","False","True"
"Camouflage","Intelligence/Knowledge","Intelligence","Warrior, Rogue","","False","True"
"Camouflage","Intelligence/Knowledge","Intelligence","Warrior, Rogue","","False","True"
"Carpentry","Strength","Strength","Str,Stamina/Int,knowl.","str_stamina","False","False"
"Cartography","Intelligence","Intelligence","","","False","True"
"Ceremony","Wisdom","Wisdom","Wisdom","Wisdom","False","False"
"Chanting","Cha","Charisma","Charisma/Leadership","cha_leadership","False","False"
"Charioteering","Dexterity","Dexterity","Dex,Balance/ Wis,Willpower","dex_balance","False","False"
"Cheesemaking","intelligence","Intelligence","","","False","True"
"Cobbling","Dexterity","Dexterity","Dex,Aim/Int,knowl.","dex_aim","False","False"
"Concentration","Wisdom","Wisdom","Wisdom","Wisdom","False","False"
"Cooking","Intelligence","Intelligence","Int,Reason","int_reason","False","False"
"Craft Instrument","Dex","Dexterity","","","False","True"
"Crowd Working","Cha","Charisma","","","False","True"
"Cryptography","Intelligence","Intelligence","Int,Reason/Wis,Intuition","int_reason","False","False"
"Cryptography","Intelligence","Intelligence","Int,Reason,Wisdom/Intuition","int_reason","False","False"
"Dancing","Dexterity","Dexterity","Dex,Bala./Cha,Appear.","dex_balance","False","False"
"Debate","Charisma","Charisma","Cha","Charisma","False","False"
"Deep Diving","Constitution","Constitution","Dex,Bala./Con,Health","dex_balance","False","False"
"Diagnostics","Wis","Wisdom","","","False","True"
"Diagnostics","Wisdom","Wisdom","","","False","True"
"Diplomacy","Charisma","Charisma","Charisma","Charisma","False","False"
"Direction Sense","Wisdom","Wisdom","","","False","True"
"Dirty Fighting","Intelligence/Knowledge","Intelligence","Warriors, Rogues","","False","True"
"Dirty Fighting","Intelligence/Knowledge","Intelligence","Warriors, Rogues","","False","True"
"Disguise","Charisma","Charisma","Wis,Intuition, Cha,Leadership","wis_intuition","False","False"
"Distance Sense","Wisdom","Wisdom","","","False","True"
"Dowsing","Wisdom","Wisdom","Wisdom","Wisdom","False","False"
"Dragon Lore","Intelligence","Intelligence","Int","Intelligence","False","False"
"Drinking","Constitution","Constitution","","","False","True"
"Dwarf Runes","Intelligence","Intelligence","","","False","True"
"Eating","Constitution","Constitution","","","False","True"
"Endurance","Constitution","Constitution","Constitution/Fitness","con_fitness","False","False"
"Endurance","Constitution","Constitution","Constitution/Fitness","con_fitness","False","False"
"Engineering","Intelligence","Intelligence","","","False","True"
"Engineering","Intelligence","Intelligence","Int,Reason/Wis,Intuition","int_reason","False","False"
"Etiquette","Charisma","Charisma","Cha,Appear,Wis/Intuit.","cha_appearance","False","False"
"Excavation","Strength","Strength","Str","Strength","False","False"
"Falconry","Wisdom","Wisdom","","","False","True"
"Fast-talking","Charisma","Charisma","","","False","True"
"Fine Balance","Dex/Balance","Dexterity","Warrior, Rogue","","False","True"
"Fine Balance","Dex/Balance","Dexterity","Warrior, Rogue","","False","True"
"Fire-building","Wisdom","Wisdom","Wis,Intuit./Int,Reason","wis_intuition","False","False"
"Fishing","Wisdom","Wisdom","Wis/Intuit., Int/Knowl.","wis_intuition","False","False"
"Fishing","Wis","Wisdom","Wis,Intuition/ Int,Knowledge","wis_intuition","False","False"
"Foraging","Int","Intelligence","","","False","True"
"Foraging","Intelligence","Intelligence","","","False","True"
"Foraging","Intelligence","Intelligence","","","False","True"
"Forgery","Dexterity","Dexterity","Dex,Aim/Wis,Willpower","dex_aim","False","False"
"Fortune Telling","Charisma","Charisma","","","False","True"
"Fungi Recognition","Intelligence","Intelligence","","","False","True"
"Gaming","Cha","Charisma","Wis,Intuition/ Int,Knowledge","wis_intuition","False","False"
"Gaming","Charisma","Charisma","Wis,Intuition/Int,Knowledge","wis_intuition","False","False"
"Gaming","Charisma","Charisma","Wis,Intuition/ Int,Knowledge","wis_intuition","False","False"
"Gem Cutting","Dexterity","Dexterity","Dexterity/Aim","dex_aim","False","False"
"Gem Cutting","Dexterity","Dexterity","Dexterity/Aim","dex_aim","False","False"
"Gem Cutting","Dexterity","Dexterity","Dexterity/Aim","dex_aim","False","False"
"Genie Lore","Intelligence","Intelligence","Int","Intelligence","False","False"
"Glassblowing","Dexterity","Dexterity","Dexterity","Dexterity","False","False"
"Haggling","Charisma","Charisma","Cha","Charisma","False","False"
"Hands-Off Mount Control","Wisdom","Wisdom","Wis","Wisdom","False","False"
"Harness Subconscious","Wisdom","Wisdom","","","False","True"
"Healing","Wis","Wisdom","Wis,Intuit./Cha,Leadersh.","wis_intuition","False","False"
"Healing","Wis","Wisdom","Wis ,Intuit./Cha,Leaders.","wis_intuition","False","False"
"Healing","Wisdom","Wisdom","Wis ,Intuit./Cha,Leaders.","wis_intuition","False","False"
"Heat Protection","Constitution","Constitution","Con","Constitution","False","False"
"Heraldry","Intelligence","Intelligence","Int,Knowledge","int_knowledge","False","False"
"Herbalism","Intelligence","Intelligence","Int,Knowl./Wis,Intuit.","int_knowledge","False","False"
"Herbalism","Intelligence","Intelligence","Int,Knowledge/Wis,Intuition","int_knowledge","False","False"
"Herbalism","Intelligence","Intelligence","Int,Knowledge/Wis,Intuition","int_knowledge","False","False"
"Hunting","Wis","Wisdom","Wisdom,Intuition","wis_intuition","False","False"
"Hunting","Wisdom","Wisdom","Wisdom,Intuition","wis_intuition","False","False"
"Hunting","Wisdom","Wisdom","Wisdom/Intuition","wis_intuition","False","False"
"Hypnosis","Charisma","Charisma","","","False","True"
"Hypnotism","Charisma","Charisma","Charisma","Charisma","False","False"
"Information Gathering","Intelligence","Intelligence","","","False","True"
"Intimidation","ability special","None","","","False","True"
"Investigation","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Iron Will","Wisdom/Willpower","Wisdom","Warrior, Priest","","False","True"
"Iron Will","Wisdom/Willpower","Wisdom","Warrior, Priest","","False","True"
"Jousting","Dex","Dexterity","","","False","True"
"Jousting","Dexterity","Dexterity","","","False","True"
"Juggling","Dexterity","Dexterity","Dexterity/Aim","dex_aim","False","False"
"Jumping","Strength","Strength","Str,Muscle/ Dex,Balance","str_muscle","False","False"
"Languages, Ancient","Intelligence","Intelligence","Intelligence,Knowl.","int_knowledge","False","False"
"Languages, Ancient","Intelligence","Intelligence","Intelligence,Knowledge","int_knowledge","False","False"
"Languages, Modern","Intelligence","Intelligence","Int,Knowledge","int_knowledge","False","False"
"Law","Wis","Wisdom","","","False","True"
"Law","Wisdom","Wisdom","Intelligence","Intelligence","False","False"
"Law","Wisdom","Wisdom","","","False","True"
"Leadership","Charisma/Leadership","Charisma","Warrior","","False","True"
"Leatherworking","Intelligence","Intelligence","Int,Knowl./Dex,Aim","int_knowledge","False","False"
"Local Dwarf History","Charisma","Charisma","","","False","True"
"Local History","Charisma","Charisma","Int,Knowl./Cha/Appear.","int_knowledge","False","False"
"Local History","Charisma","Charisma","Int,Knowledge/Cha,Appearance","int_knowledge","False","False"
"Locksmithing","Dexterity","Dexterity","","","False","True"
"Looting","Dexterity","Dexterity","","","False","True"
"Meditative Focus","Wisdom","Wisdom","","","False","True"
"Mental Resistance","Wisdom","Wisdom","Wisdom","Wisdom","False","False"
"Mining","Wisdom","Wisdom","Wis/Intuit., Str/Stam.","wis_intuition","False","False"
"Mountaineering","NA","None","Str,Stamina/Wis,Willpower","str_stamina","False","False"
"Musical Instrument","Dexterity","Dexterity","Charisma,Leadership","cha_leadership","False","False"
"Musical Instrument","Dexterity","Dexterity","Charisma/Leadership","cha_leadership","False","False"
"Musical Instrument","Dexterity","Dexterity","Charisma/Leadership","cha_leadership","False","False"
"Navigation","Intelligence","Intelligence","Int,Knowl./Wis,Intuit.","int_knowledge","False","False"
"Navigation","Intelligence","Intelligence","Int,Knowl./Wis,Intuit.","int_knowledge","False","False"
"Navigation","Intelligence","Intelligence","Int,Knowl./Wis,Intuit.","int_knowledge","False","False"
"Navigation","Intelligence","Intelligence","Int,Knowl./Wisdom,Intuition","int_knowledge","False","False"
"Netherworld Knowledge","Intelligence","Intelligence","Int","Intelligence","False","False"
"Observation","Intelligence","Intelligence","","","False","True"
"Observation","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Omen Reading","Wisdom","Wisdom","Wisdom","Wisdom","False","False"
"Omen Reading","Wisdom","Wisdom","Wisdom","Wisdom","False","False"
"Oratory","Cha","Charisma","","","False","True"
"Oratory","Charisma","Charisma","Charisma","Charisma","False","False"
"Oratory","Charisma","Charisma","","","False","True"
"Orienteering","Intelligence","Intelligence","Int,Knowl./Wis,Intuit.","int_knowledge","False","False"
"Painting","Dexterity","Dexterity","Dex,Aim/Wis,Intuit.","dex_aim","False","False"
"Papermaking","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Papermaking","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Persuasion","Charisma","Charisma","","","False","True"
"Persuasion","Charisma","Charisma","Charisma","Charisma","False","False"
"Pest Control","Wisdom","Wisdom","","","False","True"
"Planar Sense","Wisdom","Wisdom","Wis","Wisdom","False","False"
"Planar Survival","Intelligence","Intelligence","Int","Intelligence","False","False"
"Poetry","Intelligence","Intelligence","","","False","True"
"Portal Feel","Wisdom","Wisdom","Wis","Wisdom","False","False"
"Pottery","Dexterity","Dexterity","Dexterity,Aim","dex_aim","False","False"
"Prestidigitation","Dexterity","Dexterity","Dexterity","Dexterity","False","False"
"Psionic Detection","Wisdom","Wisdom","Wis","Wisdom","False","False"
"Quickness","Dexterity/Aim","Dexterity","Warrior, Rogue","","False","True"
"Quickness","Dexterity/Aim","Dexterity","Warrior, Rogue","","False","True"
"Reading Lips","Intelligence","Intelligence","Int,Knowledge/Wis,Intuition","int_knowledge","False","False"
"Reading/Writing","Intelligence","Intelligence","Intelligence,Knowledge","int_knowledge","False","False"
"Reading/Writing","Intelligence","Intelligence","Intelligence,Knowledge","int_knowledge","False","False"
"Reading/Writing","Intelligence","Intelligence","Intelligence,Knowledge","int_knowledge","False","False"
"Reading/Writing","Intelligence","Intelligence","Intelligence,Knowledge","int_knowledge","False","False"
"Rejuvenation","Wisdom","Wisdom","","","False","True"
"Religion","Wisdom","Wisdom","Wisdom,Intuition","wis_intuition","False","False"
"Religion","Wisdom","Wisdom","Wisdom,Intuition","wis_intuition","False","False"
"Religion","Wisdom","Wisdom","Wisdom,Intuition","wis_intuition","False","False"
"Research","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Riding, Airborne","Wisdom","Wisdom","Wis,Willp./Dex,Balan.","wis_willpower","False","False"
"Riding, Airborne","Wis","Wisdom","Wis,Willpower/ Dex,Balance","wis_willpower","False","False"
"Riding, Airborne","Wis","Wisdom","Wis,Willpower/ Dex,Balance","wis_willpower","False","False"
"Riding, Land","Wis","Wisdom","Wis,Willp./ Dex,Balan.","wis_willpower","False","False"
"Riding, Land-based","Wisdom","Wisdom","Wis,Willp./ Dex,Balan.","wis_willpower","False","False"
"Riding, Land-based","Wis","Wisdom","Wis,Willp./ Dex,Balan.","wis_willpower","False","False"
"Riding, Sea-based","Dexterity","Dexterity","","","False","True"
"Rope Use","Dexterity","Dexterity","Dex,Aim/Wis/Intuit.","dex_aim","False","False"
"Rulership","Charisma","Charisma","Cha","Charisma","False","False"
"Running","Constitution","Constitution","Str,Stamina/ Con,Fitness","str_stamina","False","False"
"Sage Knowledge","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Sage Knowledge","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Scribe","Dexterity","Dexterity","Dexterity","Dexterity","False","False"
"Scribe","Dexterity","Dexterity","Dexterity","Dexterity","False","False"
