mm_name,normalized_name
'Wari,'wari
'Wari (Bird),'wari
Abishai (Baatezu),abishai
"Abishai, Black",abishai black
"Abishai, Green",abishai green
Adult,adult
Aerial Servant,aerial servant
"Aerial Servant (Elemental, Air-kin)",aerial servant
African Elephant (Elephant),african elephant
"Air Elemental (Elemental, Air/Earth)",air elemental
Air/Earth,air/earth
Algorn,algorn
Algorn (Titan),algorn
Amethyst Dragon,amethyst dragon
Amphisbaena,amphisbaena
Amphisbaena (Snake),amphisbaena
Androsphinx,androsphinx
Androsphinx (Sphinx),androsphinx
Animal,animal
Ankylosaurus,ankylosaurus
Ankylosaurus (Dinosaur),ankylosaurus
Ant (Insect),ant
Ant Lion (Insect),ant lion
"Ant Lion, Giant",ant lion giant
"Ant, Giant",ant giant
Antelope,antelope
"Antelope (Mammal, Herd)",antelope
Antherion--Jackalwere,antherion--jackalwere
Antherion--Wolfwere,antherion--wolfwere
"Ape, Carnivorous",ape carnivorous
"Ape, Carnivorous (Mammal)",ape carnivorous
Appendix I: Instructions for the Blank Monster Form,appendix i: instructions for blank monster form
Appendix II: Monster Summoning Tables,appendix ii: monster summoning tables
Appendix III: NPCs,appendix iii: npcs
Aquatic,aquatic
"Aquatic Monster Summoning, Fresh Water",aquatic monster summoning fresh water
"Aquatic Monster Summoning, Salt Water",aquatic monster summoning salt water
Aratha,aratha
Aratha (Insect),aratha
Arcane,arcane
Arctic Tempest,arctic tempest
"Arctic Tempest (Elemental, Composite)",arctic tempest
Argos,argos
Ascomoid (Fungus),ascomoid
Aspis (Insect),aspis
"Aspis, Cow",aspis cow
"Aspis, Drone",aspis drone
"Aspis, Worker",aspis worker
Assassin Bug,assassin bug
Assassin Bug (Insect),assassin bug
Astereater,astereater
Atomie,atomie
Aurumvorax,aurumvorax
Azmyth,azmyth
Azmyth (Bat),azmyth
"Baboon, Wild",baboon wild
"Baboon, Wild (Mammal)",baboon wild
Badger,badger
Bagder (Mammal),bagder
Banderlog,banderlog
Banderlog (Mammal),banderlog
Barracuda,barracuda
Barracuda (Fish),barracuda
Bat,bat
Bear,bear
Beaver,beaver
"Beaver (Mammal, Small)",beaver
Bee (Insect),bee
"Bee, Soldier",bee soldier
"Bee, Worker",bee worker
"Beetle, Giant",beetle giant
Behir,behir
Beholder and Beholder-kin,beholder and beholder-kin
Beholder Mage,beholder mage
Bhaergala,bhaergala
Bhaergala (Mammal),bhaergala
Bird,bird
Bird Maiden,bird maiden
Black Abishai,black abishai
Black Cloud,black cloud
"Black Cloud (Elemental, Composite)",black cloud
Black Dragon,black dragon
Bleeder,bleeder
Blink,blink
Blink Dog,blink dog
Blue Dragon,blue dragon
Bluebottle,bluebottle
Boalisk,boalisk
Boalisk (Snake),boalisk
"Boar, Wild",boar wild
"Boar, Wild (Mammal)",boar wild
Bombardier,bombardier
Bone,bone
Boobrie,boobrie
Boring,boring
Brain Mole,brain mole
"Brain, Flying (Grell)",brain flying
Brass Dragon,brass dragon
Broken One,broken one
Bronze Dragon,bronze dragon
Brown,brown
Brown Dragon,brown dragon
Brownie,brownie
Buffalo,buffalo
"Buffalo (Mammal, Herd)",buffalo
Bullywug,bullywug
Bumblebee,bumblebee
Camel,camel
"Camel (Mammal, Herd)",camel
Carnivorous Ape (Mammal),carnivorous ape
"Carp, Giant",carp giant
"Carp, Giant (Fish)",carp giant
Casharin,casharin
Casharin (Beholder),casharin
"Catfish, Giant",catfish giant
"Catfish, Giant (Fish)",catfish giant
Cattle,cattle
"Cattle (Mammal, Herd)",cattle
Cave,cave
Cave Cricket,cave cricket
Cave Cricket (Insect),cave cricket
Cave Fisher,cave fisher
Centipede,centipede
Character Subtable,character subtable
Chattur,chattur
Chattur (Mammal),chattur
Chipmunk,chipmunk
"Chipmunk (Mammal, Small)",chipmunk
Choke Creeper,choke creeper
"Choke Creeper (Plant, Dangerous)",choke creeper
Clay,clay
"Clay Golem (Golem, Lesser)",clay golem
Cloud,cloud
Cloud Dragon,cloud dragon
Common,common
Conjured Animals,conjured animals
Constrictor,constrictor
Constrictor (Snake),constrictor
"Constrictor, Giant",constrictor giant
Contents,contents
Cooshee,cooshee
Cooshee (Mammal),cooshee
Copper Dragon,copper dragon
Cow,cow
Crabman,crabman
Crawling Claw,crawling claw
Credits,credits
"Creeper Zombie (Plant, Dangerous)",creeper zombie
"Crimson Death (Mist, Crimson Death)",crimson death
Criosphinx,criosphinx
Criosphinx (Sphinx),criosphinx
Crocodile,crocodile
"Crustacean, Giant",crustacean giant
Cryohydra (Hydra),cryohydra
Crypt Thing,crypt thing
Crystal Dragon,crystal dragon
Crystal Ooze,crystal ooze
Cyclcops,cyclcops
"Cyclcops, (Giant)",cyclcops
Cyclcopskin,cyclcopskin
Cyrohydra,cyrohydra
"Daemon, Guardian (Yugoloth, Guardian)",daemon guardian
Dakon,dakon
Dakon (Mammal),dakon
Dao,dao
"Dark Elf (Elf, Drow)",dark elf
"Dark Naga (Naga, Dark)",dark naga
Death,death
Death Kiss (Beholder),death kiss
Death Kiss (Bleeder),death kiss
Death Worm (Necrophidius),death worm
Debbi,debbi
Debbi (Mammal),debbi
Deep,deep
Deep Dragon,deep dragon
Deep Gnome (Svirfneblin),deep gnome
Deepspawn,deepspawn
Deinonychus,deinonychus
Deinonychus (Dinosaur),deinonychus
Derro,derro
Derro (Dwarf),derro
Desert,desert
Desert Giant,desert giant
Dinosaur,dinosaur
Diplodocus,diplodocus
Diplodocus (Dinosaur),diplodocus
Director,director
Director (Beholder),director
Djinn (Genie),djinn
Dog,dog
"Dog, Moon",dog moon
Doll,doll
Dolphin,dolphin
Domestic,domestic
"Domestic Pig (Mammal, Small)",domestic pig
Doomsphere,doomsphere
Doomsphere (Beholder),doomsphere
Dracolisk,dracolisk
Dracolisk (Basilisk),dracolisk
Draft,draft
"Dragon, General",general
Dragonet,dragonet
Dragonfish,dragonfish
Dragonfly (Insect),dragonfly
"Dragonfly, Giant",dragonfly giant
"Dragonfly, Larva",dragonfly larva
Dragonne,dragonne
Drider,drider
"Drider (Elf, Drow)",drider
Drone,drone
Drow (Dark),drow
"Drow (Elf, Drow)",drow
Dryad,dryad
Dun,dun
Dwarf,dwarf
Eagle,eagle
Ear Seeker,ear seeker
Ear Seeker (Insect),ear seeker
"Earth Elemental (Elemental, Air/Earth)",earth elemental
Eastern,eastern
Eblis,eblis
Eblis (Bird),eblis
Eel (Fish),eel
"Eel, Electric",eel electric
Elasmosaurus,elasmosaurus
Elasmosaurus (Dinosaur),elasmosaurus
Elder Orb,elder orb
Elder Orb (Beholder),elder orb
Electric,electric
Electric Eel (Fish),electric eel
Elemental,elemental
"Elemental, Air-Kin",elemental air-kin
"Elemental, Composite",elemental composite
"Elemental, Fire-Kin",elemental fire-kin
"Elemental, Water-Kin",elemental water-kin
Elephant,elephant
Elf,elf
Elven,elven
"Elven Cat (Cat, Small)",elven cat
Emerald Dragon,emerald dragon
Emre,emre
Emre (Bird),emre
Ermine,ermine
"Ermine (Mammal, Small)",ermine
Examiner,examiner
Examiner (Beholder),examiner
Eye of the Deep (Beholder),eye of deep
Eye of the Deep (Water),eye of deep
Eyewing,eyewing
"Faerie (Elf, Grey)",faerie
Faerie Dragon,faerie dragon
Faerie Dragon (Dragonet),faerie dragon
Faun (Satyr),faun
Ferret,ferret
"Ferret (Mammal, Small)",ferret
Feyr,feyr
Firbolg,firbolg
Fire,fire
Fire Elemental (Elemental Fire/Water),fire elemental
Fire Snake,fire snake
"Fire Snake (Elemental, Fire-Kin)",fire snake
Fire/Water,fire/water
Firedrake,firedrake
Firedrake (Dragonet),firedrake
Firefriend,firefriend
Firefriend (Insect),firefriend
Fish,fish
Flesh,flesh
Flightless,flightless
Flind (Gnoll),flind
Fly (Insect),fly
"Fly, Bluebottle",fly bluebottle
"Fly, Horsefly",fly horsefly
Flying Brain,flying brain
"Flying Squirrel (Mammal, Small)",flying squirrel
Fog,fog
Fog Giant,fog giant
Forest,forest
Formorian,formorian
Fox,fox
"Fox (Mammal, Small)",fox
"Foxwoman (Lycanthrope, Werefox)",foxwoman
Frog,frog
Frost,frost
Fungus,fungus
Fungus Man (Myconid),fungus man
Fyrefly,fyrefly
Fyrefly (Insect),fyrefly
Galeb Duhr,galeb duhr
Gargantua,gargantua
Gargantuan,gargantuan
Gas Spore (Fungus),gas spore
Gauth,gauth
Gauth (Beholder),gauth
General,general
Genie,genie
Ghast (Ghoul),ghast
Giant,giant
"Giant Black Squirrel (Mammal, Small)",giant black squirrel
"Giant Crab (Crustacean, Giant)",giant crab
"Giant Crayfish (Crustacean, Giant)",giant crayfish
Giant Pig (Mammal),giant pig
Giant Pike (Fish),giant pike
Giant Piranha (Fish),giant piranha
Giant Seahorse (Fish),giant seahorse
Giant Shark (Fish),giant shark
"Giant Skeleton (Skeleton, Giant)",giant skeleton
Giant Spitting,giant spitting
"Giant, Eel (Fish)",giant eel
"Giant, Sea",giant sea
Gibberling,gibberling
Giff,giff
Girzon,girzon
Girzon (Titan),girzon
Gith,gith
"Gith, Pirate",gith pirate
Githyanki,githyanki
Githzerai,githzerai
Glass,glass
"Glass Golem (Golem, Glass)",glass golem
Gloomwing,gloomwing
Gloomwing Moth,gloomwing moth
Glyptar,glyptar
Glyptar (Medusa),glyptar
"Gnome, Spriggan",gnome spriggan
Goat,goat
Goat (Mammal),goat
Gold Dragon,gold dragon
Golem,golem
"Golem, General",golem general
"Golem, Greater",golem greater
"Golem, Lesser",golem lesser
"Golem, Stone Variants",golem stone variants
Gopher,gopher
"Gopher (Mammal, Small)",gopher
Gorbel,gorbel
Gorbel (Beholder),gorbel
Gorgimera,gorgimera
Gorilla,gorilla
Gorilla (Mammal),gorilla
Grasshoppers,grasshoppers
Greater,greater
Green Abishai (Baatezu),green abishai
Green Dragon,green dragon
Grell,grell
Gremlin,gremlin
"Gremlin, Jermalaine",gremlin jermalaine
Grey (Faerie),grey
Grey Ooze,grey ooze
Grig,grig
Grig (Sprite),grig
Grimlock,grimlock
Grippli,grippli
Groaning Spirit (Banshee),groaning spirit
Guardian,guardian
"Guardian Daemon (Yugoloth, Guardian)",guardian daemon
Gulgurthra (Otyugh),gulgurthra
Gynosphinx,gynosphinx
Gynosphinx (Sphinx),gynosphinx
Hag,hag
Hairfoot,hairfoot
Hairy,hairy
Half-Elf,half-elf
Hangman Tree,hangman tree
"Hangman Tree (Plant, Intelligent)",hangman tree
Hatori,hatori
Haunt,haunt
Hawk,hawk
Hawk (Bird),hawk
Heavy,heavy
Hedgehog,hedgehog
"Hedgehog (Mammal, Small)",hedgehog
Heriacosphinx,heriacosphinx
Heucuva,heucuva
Heway,heway
Heway (Snake),heway
Hieracosphinx,hieracosphinx
Hill,hill
Hippocampus,hippocampus
"Histachii (Yuan-ti, Histachii)",histachii
Hive Mother,hive mother
