Dragon	Stage	Age Category	Hit Dice	Combat Modifier	THAC0	Breath Weapon	Spell Level	Magic Resistance	Special Immunities/Abilities
Red	1	Hatchling	9	+1	13	2d10+1	None	Nil	Innate: A red dragon's breath weapon is a searing cone of fire 90' long, 5' wide at the dragon's mouth and 30' at the base. Creatures struck by the flames must save versus breath weapon for half damage. Red dragons cast spells at 9th level, adjusted by their combat modifiers. Red dragons are born immune to fire. As they age, they gain the following additional powers:
Red	2	Very young	11	+2	11	4d10+2	None	Nil	Innate: A red dragon's breath weapon is a searing cone of fire 90' long, 5' wide at the dragon's mouth and 30' at the base. Creatures struck by the flames must save versus breath weapon for half damage. Red dragons cast spells at 9th level, adjusted by their combat modifiers. Red dragons are born immune to fire. As they age, they gain the following additional powers:
Red	3	Young	13	+3	9	6d10+3	None	Nil	Innate: A red dragon's breath weapon is a searing cone of fire 90' long, 5' wide at the dragon's mouth and 30' at the base. Creatures struck by the flames must save versus breath weapon for half damage. Red dragons cast spells at 9th level, adjusted by their combat modifiers. Red dragons are born immune to fire. As they age, they gain the following additional powers: | +Young: affect normal fires three times per day
Red	4	Juvenile	15	+4	7	8d10+4	1st	Nil	Innate: A red dragon's breath weapon is a searing cone of fire 90' long, 5' wide at the dragon's mouth and 30' at the base. Creatures struck by the flames must save versus breath weapon for half damage. Red dragons cast spells at 9th level, adjusted by their combat modifiers. Red dragons are born immune to fire. As they age, they gain the following additional powers: | +Young: affect normal fires three times per day | +Juvenile: pyrotechnics three times per day
Red	5	Young adult	16	+5	6	10d10+5	2nd	30%	Innate: A red dragon's breath weapon is a searing cone of fire 90' long, 5' wide at the dragon's mouth and 30' at the base. Creatures struck by the flames must save versus breath weapon for half damage. Red dragons cast spells at 9th level, adjusted by their combat modifiers. Red dragons are born immune to fire. As they age, they gain the following additional powers: | +Young: affect normal fires three times per day | +Juvenile: pyrotechnics three times per day
Red	6	Adult	17	+6	5	12d10+6	2nd	35%	Innate: A red dragon's breath weapon is a searing cone of fire 90' long, 5' wide at the dragon's mouth and 30' at the base. Creatures struck by the flames must save versus breath weapon for half damage. Red dragons cast spells at 9th level, adjusted by their combat modifiers. Red dragons are born immune to fire. As they age, they gain the following additional powers: | +Young: affect normal fires three times per day | +Juvenile: pyrotechnics three times per day | +Adult: heat metal once per day
Red	7	Mature adult	18	+7	4	14d10+7	2nd	40%	Innate: A red dragon's breath weapon is a searing cone of fire 90' long, 5' wide at the dragon's mouth and 30' at the base. Creatures struck by the flames must save versus breath weapon for half damage. Red dragons cast spells at 9th level, adjusted by their combat modifiers. Red dragons are born immune to fire. As they age, they gain the following additional powers: | +Young: affect normal fires three times per day | +Juvenile: pyrotechnics three times per day | +Adult: heat metal once per day
Red	8	Old	19	+8	3	16d10+8	3rd	45%	Innate: A red dragon's breath weapon is a searing cone of fire 90' long, 5' wide at the dragon's mouth and 30' at the base. Creatures struck by the flames must save versus breath weapon for half damage. Red dragons cast spells at 9th level, adjusted by their combat modifiers. Red dragons are born immune to fire. As they age, they gain the following additional powers: | +Young: affect normal fires three times per day | +Juvenile: pyrotechnics three times per day | +Adult: heat metal once per day | +Old: suggestion once per day
Red	9	Very old	20	+9	2	18d10+9	3rd	50%	Innate: A red dragon's breath weapon is a searing cone of fire 90' long, 5' wide at the dragon's mouth and 30' at the base. Creatures struck by the flames must save versus breath weapon for half damage. Red dragons cast spells at 9th level, adjusted by their combat modifiers. Red dragons are born immune to fire. As they age, they gain the following additional powers: | +Young: affect normal fires three times per day | +Juvenile: pyrotechnics three times per day | +Adult: heat metal once per day | +Old: suggestion once per day | +Very old: hypnotism once per day
Red	10	Venerable	21	+10	1	20d10+10	4th	55%	Innate: A red dragon's breath weapon is a searing cone of fire 90' long, 5' wide at the dragon's mouth and 30' at the base. Creatures struck by the flames must save versus breath weapon for half damage. Red dragons cast spells at 9th level, adjusted by their combat modifiers. Red dragons are born immune to fire. As they age, they gain the following additional powers: | +Young: affect normal fires three times per day | +Juvenile: pyrotechnics three times per day | +Adult: heat metal once per day | +Old: suggestion once per day | +Very old: hypnotism once per day | +Venerable: detect gems, kind and number in a 100' radius three times a day
Red	11	Wyrm	22	+11	0	22d10+11	5th	60%	Innate: A red dragon's breath weapon is a searing cone of fire 90' long, 5' wide at the dragon's mouth and 30' at the base. Creatures struck by the flames must save versus breath weapon for half damage. Red dragons cast spells at 9th level, adjusted by their combat modifiers. Red dragons are born immune to fire. As they age, they gain the following additional powers: | +Young: affect normal fires three times per day | +Juvenile: pyrotechnics three times per day | +Adult: heat metal once per day | +Old: suggestion once per day | +Very old: hypnotism once per day | +Venerable: detect gems, kind and number in a 100' radius three times a day
Red	12	Great Wyrm	23	+12	-1	24d10+12	6th	65%	Innate: A red dragon's breath weapon is a searing cone of fire 90' long, 5' wide at the dragon's mouth and 30' at the base. Creatures struck by the flames must save versus breath weapon for half damage. Red dragons cast spells at 9th level, adjusted by their combat modifiers. Red dragons are born immune to fire. As they age, they gain the following additional powers: | +Young: affect normal fires three times per day | +Juvenile: pyrotechnics three times per day | +Adult: heat metal once per day | +Old: suggestion once per day | +Very old: hypnotism once per day | +Venerable: detect gems, kind and number in a 100' radius three times a day
Blue	1	Hatchling	8	+1	13	2d8+1	None	Nil	Innate: A blue dragon's breath weapon is a 5' wide bolt of lightning that streaks 100' in a straight line from the dragon's mouth. All creatures caught in this stream must save vs. breath weapon for half damage. Blue dragons cast spells and use their magical abilities at 7th level, adjusted by their combat modifier. Blue dragons are born with an immunity to electricity. As they age, they gain the following additional powers:
Blue	2	Very young	10	+2	11	4d8+2	None	Nil	Innate: A blue dragon's breath weapon is a 5' wide bolt of lightning that streaks 100' in a straight line from the dragon's mouth. All creatures caught in this stream must save vs. breath weapon for half damage. Blue dragons cast spells and use their magical abilities at 7th level, adjusted by their combat modifier. Blue dragons are born with an immunity to electricity. As they age, they gain the following additional powers:
Blue	3	Young	12	+3	9	6d8+3	None	Nil	Innate: A blue dragon's breath weapon is a 5' wide bolt of lightning that streaks 100' in a straight line from the dragon's mouth. All creatures caught in this stream must save vs. breath weapon for half damage. Blue dragons cast spells and use their magical abilities at 7th level, adjusted by their combat modifier. Blue dragons are born with an immunity to electricity. As they age, they gain the following additional powers: | +Young: create or destroy water three times per day
Blue	4	Juvenile	14	+4	7	8d8+4	1st	Nil	Innate: A blue dragon's breath weapon is a 5' wide bolt of lightning that streaks 100' in a straight line from the dragon's mouth. All creatures caught in this stream must save vs. breath weapon for half damage. Blue dragons cast spells and use their magical abilities at 7th level, adjusted by their combat modifier. Blue dragons are born with an immunity to electricity. As they age, they gain the following additional powers: | +Young: create or destroy water three times per day | +Juvenile: sound imitation at will
Blue	5	Young adult	15	+5	6	10d8+5	2nd	20%	Innate: A blue dragon's breath weapon is a 5' wide bolt of lightning that streaks 100' in a straight line from the dragon's mouth. All creatures caught in this stream must save vs. breath weapon for half damage. Blue dragons cast spells and use their magical abilities at 7th level, adjusted by their combat modifier. Blue dragons are born with an immunity to electricity. As they age, they gain the following additional powers: | +Young: create or destroy water three times per day | +Juvenile: sound imitation at will
Blue	6	Adult	16	+6	5	12d8+6	3rd	25%	Innate: A blue dragon's breath weapon is a 5' wide bolt of lightning that streaks 100' in a straight line from the dragon's mouth. All creatures caught in this stream must save vs. breath weapon for half damage. Blue dragons cast spells and use their magical abilities at 7th level, adjusted by their combat modifier. Blue dragons are born with an immunity to electricity. As they age, they gain the following additional powers: | +Young: create or destroy water three times per day | +Juvenile: sound imitation at will | +Adult: dust devil once a day
Blue	7	Mature adult	17	+7	4	14d8+7	2nd	30%	Innate: A blue dragon's breath weapon is a 5' wide bolt of lightning that streaks 100' in a straight line from the dragon's mouth. All creatures caught in this stream must save vs. breath weapon for half damage. Blue dragons cast spells and use their magical abilities at 7th level, adjusted by their combat modifier. Blue dragons are born with an immunity to electricity. As they age, they gain the following additional powers: | +Young: create or destroy water three times per day | +Juvenile: sound imitation at will | +Adult: dust devil once a day
Blue	8	Old	18	+8	3	16d8+8	2nd	35%	Innate: A blue dragon's breath weapon is a 5' wide bolt of lightning that streaks 100' in a straight line from the dragon's mouth. All creatures caught in this stream must save vs. breath weapon for half damage. Blue dragons cast spells and use their magical abilities at 7th level, adjusted by their combat modifier. Blue dragons are born with an immunity to electricity. As they age, they gain the following additional powers: | +Young: create or destroy water three times per day | +Juvenile: sound imitation at will | +Adult: dust devil once a day | +Old: ventriloquism once a day
Blue	9	Very old	19	+9	2	18d8+9	2nd	40%	Innate: A blue dragon's breath weapon is a 5' wide bolt of lightning that streaks 100' in a straight line from the dragon's mouth. All creatures caught in this stream must save vs. breath weapon for half damage. Blue dragons cast spells and use their magical abilities at 7th level, adjusted by their combat modifier. Blue dragons are born with an immunity to electricity. As they age, they gain the following additional powers: | +Young: create or destroy water three times per day | +Juvenile: sound imitation at will | +Adult: dust devil once a day | +Old: ventriloquism once a day
Blue	10	Venerable	20	+10	1	20d8+10	4th	45%	Innate: A blue dragon's breath weapon is a 5' wide bolt of lightning that streaks 100' in a straight line from the dragon's mouth. All creatures caught in this stream must save vs. breath weapon for half damage. Blue dragons cast spells and use their magical abilities at 7th level, adjusted by their combat modifier. Blue dragons are born with an immunity to electricity. As they age, they gain the following additional powers: | +Young: create or destroy water three times per day | +Juvenile: sound imitation at will | +Adult: dust devil once a day | +Old: ventriloquism once a day | +Venerable: hallucinatory terrain once a day
Blue	11	Wyrm	21	+11	0	22d8+11	4th	50%	Innate: A blue dragon's breath weapon is a 5' wide bolt of lightning that streaks 100' in a straight line from the dragon's mouth. All creatures caught in this stream must save vs. breath weapon for half damage. Blue dragons cast spells and use their magical abilities at 7th level, adjusted by their combat modifier. Blue dragons are born with an immunity to electricity. As they age, they gain the following additional powers: | +Young: create or destroy water three times per day | +Juvenile: sound imitation at will | +Adult: dust devil once a day | +Old: ventriloquism once a day | +Venerable: hallucinatory terrain once a day
Blue	12	Great Wyrm	22	+12	-1	24d8+12	4th	55%	Innate: A blue dragon's breath weapon is a 5' wide bolt of lightning that streaks 100' in a straight line from the dragon's mouth. All creatures caught in this stream must save vs. breath weapon for half damage. Blue dragons cast spells and use their magical abilities at 7th level, adjusted by their combat modifier. Blue dragons are born with an immunity to electricity. As they age, they gain the following additional powers: | +Young: create or destroy water three times per day | +Juvenile: sound imitation at will | +Adult: dust devil once a day | +Old: ventriloquism once a day | +Venerable: hallucinatory terrain once a day
Green	1	Hatchling	7	+1	13	2d6+1	None	Nil	Innate: A green dragon's breath weapon is a cloud of poisonous chlorine gas that is 50' long, 40' wide, and 30 feet high. Creatures within the cloud may save versus breath weapon for half damage. A green dragon casts its spells at 6th level, adjusted by its combat modifier. From birth, green dragons are immune to gasses. As they age, they gain the following additional powers:
Green	2	Very young	9	+2	11	4d6+2	None	Nil	Innate: A green dragon's breath weapon is a cloud of poisonous chlorine gas that is 50' long, 40' wide, and 30 feet high. Creatures within the cloud may save versus breath weapon for half damage. A green dragon casts its spells at 6th level, adjusted by its combat modifier. From birth, green dragons are immune to gasses. As they age, they gain the following additional powers:
Green	3	Young	11	+3	9	6d6+3	None	Nil	Innate: A green dragon's breath weapon is a cloud of poisonous chlorine gas that is 50' long, 40' wide, and 30 feet high. Creatures within the cloud may save versus breath weapon for half damage. A green dragon casts its spells at 6th level, adjusted by its combat modifier. From birth, green dragons are immune to gasses. As they age, they gain the following additional powers:
Green	4	Juvenile	13	+4	7	8d6+4	1st	Nil	Innate: A green dragon's breath weapon is a cloud of poisonous chlorine gas that is 50' long, 40' wide, and 30 feet high. Creatures within the cloud may save versus breath weapon for half damage. A green dragon casts its spells at 6th level, adjusted by its combat modifier. From birth, green dragons are immune to gasses. As they age, they gain the following additional powers: | +Juvenile: water breathing
Green	5	Young adult	14	+5	6	10d6+5	2nd	15%	Innate: A green dragon's breath weapon is a cloud of poisonous chlorine gas that is 50' long, 40' wide, and 30 feet high. Creatures within the cloud may save versus breath weapon for half damage. A green dragon casts its spells at 6th level, adjusted by its combat modifier. From birth, green dragons are immune to gasses. As they age, they gain the following additional powers: | +Juvenile: water breathing
Green	6	Adult	15	+6	5	12d6+6	3rd	20%	Innate: A green dragon's breath weapon is a cloud of poisonous chlorine gas that is 50' long, 40' wide, and 30 feet high. Creatures within the cloud may save versus breath weapon for half damage. A green dragon casts its spells at 6th level, adjusted by its combat modifier. From birth, green dragons are immune to gasses. As they age, they gain the following additional powers: | +Juvenile: water breathing | +Adult: suggestion once a day
Green	7	Mature adult	16	+7	4	14d6+7	4th	25%	Innate: A green dragon's breath weapon is a cloud of poisonous chlorine gas that is 50' long, 40' wide, and 30 feet high. Creatures within the cloud may save versus breath weapon for half damage. A green dragon casts its spells at 6th level, adjusted by its combat modifier. From birth, green dragons are immune to gasses. As they age, they gain the following additional powers: | +Juvenile: water breathing | +Adult: suggestion once a day | +Mature adult: warp wood three times a day
